gene,total_variants,ba1_count,bs1_count,pm2_count,underpowered,no_spdi,no_criteria,found_in_gnomad,absent_gnomad,an_sufficient,false_positives,strict_fp,moderate_fp,total_plp,fp_rate_pct,max_faf95_sas,avg_faf95_sas,vus_resolved,conflicts_resolved,pct_absent_sas,genuine_reclass
APC,15791,37,166,10315,2,92,5179,5384,10407,5382,1,0,1,2589,0.04,0.78490913,0.00633243,46,57,65.9,124
ATM,18926,33,54,12323,0,115,6401,6488,12438,6488,0,0,0,3757,0.00,0.65313399,0.00230153,6,24,65.7,42
BRCA1,13130,29,126,9348,0,293,3334,3489,9641,3489,1,0,1,4162,0.02,0.53312719,0.01091,7,46,73.4,54
BRCA2,21224,58,213,14543,0,188,6222,6493,14731,6493,1,1,0,5630,0.02,1.0,0.00586835,29,103,69.4,141
CDH1,5079,17,6,3034,0,46,1976,1999,3080,1999,0,0,0,641,0.00,0.78304046,0.00412286,0,1,60.6,5
MLH1,6208,24,77,4257,0,104,1746,1847,4361,1847,1,0,1,1911,0.05,0.32745159,0.00267592,19,24,70.2,54
MSH2,8108,29,88,5229,2,152,2608,2727,5381,2725,0,0,0,2110,0.00,0.45917788,0.00323565,6,49,66.4,68
PALB2,6617,19,61,4280,0,63,2194,2274,4343,2274,1,0,1,1449,0.07,0.3064127,0.00193375,11,32,65.6,58
PTEN,3970,13,19,3148,0,43,747,779,3191,779,0,0,0,1255,0.00,0.99837232,0.01206463,2,4,80.4,12
TP53,3772,20,10,2591,0,41,1110,1140,2632,1140,0,0,0,1127,0.00,0.79805583,0.01154893,0,5,69.8,14
