original_group,criteria_applied,new_classification,count,avg_faf95_sas,max_faf95_sas
VUS,PM2_Supporting,uncertain_significance,24313,0.0,0.0
Pathogenic,PM2_Supporting,pathogenic,17678,0.0,0.0
Likely_Benign,PM2_Supporting,likely_benign,11895,0.0,0.0
VUS,None,uncertain_significance,10821,1.01e-05,0.00099131
Conflicting,None,conflicting_classifications_of_pathogenicity,8155,1.01e-05,0.00073565
Likely_Benign,None,likely_benign,6693,1.2e-05,0.00177857
Conflicting,PM2_Supporting,conflicting_classifications_of_pathogenicity,6195,0.0,0.0
Likely_Benign,None,benign_likely_benign,3436,1.36e-05,0.00087833
Benign,PM2_Supporting,benign,2447,0.0,0.0
Likely_Pathogenic,PM2_Supporting,likely_pathogenic,2378,0.0,0.0
Likely_Benign,PM2_Supporting,benign_likely_benign,2254,0.0,0.0
Likely_Pathogenic,PM2_Supporting,pathogenic_likely_pathogenic,1904,0.0,0.0
Pathogenic,None,pathogenic,991,6.8e-06,0.00062163
Pathogenic,No_SPDI,pathogenic,795,0.0,0.0
Benign,None,benign,674,2.27e-05,0.00062112
Likely_Pathogenic,None,pathogenic_likely_pathogenic,461,4.5e-06,0.00014549
Conflicting,BS1,Likely_Benign,322,0.0003245,0.00214102
Likely_Pathogenic,None,likely_pathogenic,285,8.4e-06,0.00062086
VUS,No_SPDI,uncertain_significance,191,0.0,0.0
Benign,BA1,benign,151,0.1794449,1.0
Likely_Benign,BS1,likely_benign,151,0.0003338,0.00234626
VUS,BS1,Likely_Benign,117,0.0002153,0.00190056
Likely_Benign,BS1,benign_likely_benign,117,0.0004208,0.00226175
Likely_Pathogenic,No_SPDI,likely_pathogenic,115,0.0,0.0
Benign,BS1,benign,108,0.000429,0.00428122
Likely_Benign,BA1,Benign,96,0.0291415,0.78304046
Conflicting,BA1,Benign,23,0.0391962,0.50202078
Likely_Pathogenic,No_SPDI,pathogenic_likely_pathogenic,16,0.0,0.0
Likely_Benign,No_SPDI,likely_benign,13,0.0,0.0
VUS,BA1,Benign,9,0.0951131,0.7149508
Benign,No_SPDI,benign,6,0.0,0.0
Likely_Pathogenic,BS1,Likely_Benign,4,0.0002907,0.00049566
VUS,Underpowered,uncertain_significance,2,0.0,0.0
Other,PM2_Supporting,no_classifications_from_unflagged_records,2,0.0,0.0
Likely_Pathogenic,PM2_Supporting,"likely_pathogenic,_low_penetrance",1,0.0,0.0
Pathogenic,BS1,Likely_Benign,1,0.0006603,0.0006603
Conflicting,Underpowered,conflicting_classifications_of_pathogenicity,1,0.0,0.0
Pathogenic,Underpowered,pathogenic,1,0.0,0.0
Conflicting,No_SPDI,conflicting_classifications_of_pathogenicity,1,0.0,0.0
Other,PM2_Supporting,drug_response,1,0.0,0.0
Likely_Pathogenic,None,"pathogenic_likely_pathogenic_pathogenic,_low_penetrance",1,0.0,0.0
