gene,total,found_gnomad_sas,absent_gnomad_sas,vus,pathogenic,likely_pathogenic,likely_benign,benign,conflicting,other,ba1_applied,bs1_applied,pm2_applied,no_spdi,no_criteria,underpowered,vus_to_lb_or_b,vus_to_benign_ba1,vus_to_lb_bs1,conf_pm2_evidence_only,conf_to_lb_bs1,conf_to_b_ba1,lb_to_benign_ba1,strict_fp,moderate_fp,benign_confirmed_ba1,lb_confirmed_bs1,benign_confirmed_bs1,genuine_reclassifications,max_faf95_sas,pct_absent_sas
APC,15791,5384,10407,8653,2101,488,3382,417,750,0,37,166,10315,92,5179,2,46,2,44,135,57,0,20,0,1,15,54,10,124,0.784909,65.9
ATM,18926,6488,12438,8105,2527,1230,5158,427,1479,0,33,54,12323,115,6401,0,6,2,4,430,21,3,12,0,0,16,24,5,42,0.653134,65.7
BRCA1,13130,3489,9641,2446,3675,487,2886,731,2904,1,29,126,9348,293,3334,0,7,1,6,1559,43,3,0,0,1,25,37,39,54,0.533127,73.4
BRCA2,21224,6493,14731,4220,4918,712,4889,788,5697,0,58,213,14543,188,6222,0,29,0,29,2793,98,5,8,1,0,45,56,29,141,1.0,69.4
CDH1,5079,1999,3080,2220,487,154,1538,209,471,0,17,6,3034,46,1976,0,0,0,0,151,1,0,4,0,0,13,1,4,5,0.78304,60.6
MLH1,6208,1847,4361,2124,1422,489,1441,199,532,1,24,77,4257,104,1746,0,19,2,17,161,22,2,10,0,1,10,27,10,54,0.327452,70.2
MSH2,8108,2727,5381,2348,1672,438,2010,243,1397,0,29,88,5229,152,2608,2,6,1,5,404,44,5,13,0,0,10,30,9,68,0.459178,66.4
PALB2,6617,2274,4343,2776,1045,404,1535,150,707,0,19,61,4280,63,2194,0,11,1,10,189,30,2,14,0,1,2,19,1,58,0.306413,65.6
PTEN,3970,779,3191,1584,882,373,792,104,235,0,13,19,3148,43,747,0,2,0,2,126,2,2,6,0,0,5,14,1,12,0.998372,80.4
TP53,3772,1140,2632,977,737,390,1024,118,525,1,20,10,2591,41,1110,0,0,0,0,247,4,1,9,0,0,10,6,0,14,0.798056,69.8
GRAND_TOTAL,102825,32620,70205,35453,19466,5165,24655,3386,14697,3,279,820,69068,1137,31517,4,126,9,117,6195,322,23,96,1,4,151,268,108,572,1.0,68.3
